Код,Код_W,Наименование
М01,W01,Углеродистые и низколегированные конструкционные стали перлитного класса с пределом текучести до 360 МПа
М02,W02,Низколегированные теплоустойчивые хромомолибденовые и хромомолибденованадиевые стали перлитного класса
М03,W03,Низколегированные конструкционные стали перлитного класса с пределом текучести свыше 360 МПа
М04,W04,Высоколегированные (высокохромистые) стали мартенситного, мартенситно-ферритного и ферритного классов с содержанием хрома от 10% до 30%
М05,W05,Легированные стали мартенситного класса с содержанием хрома от 4% до 10%
М06,,Чугуны
М07,,Арматурные стали железобетонных конструкций
М11,W11,Высоколегированные стали аустенитно-ферритного и аустенитного классов
М21,W21,Чистый алюминий и алюминиево-марганцевые сплавы
М22,W22,Нетермоупрочненные алюминиево-магниевые сплавы
М23,W23,Термоупрочненные алюминиевые сплавы
М31,,Медь
М32,,Медноцинковые сплавы
М33,,Медноникелевые сплавы
М34,,Бронзы
М41,,Титан и титановые сплавы
М51,,Никель и никелевые сплавы
М61,,Полиэтилен (PE)
М62,,Сшитый полиэтилен (PE-X)
М63,,Поливинилхлорид (PVC)
М64,,Полипропилен (PP)
М00,,Материалы, не вошедшие в обозначенные выше группы
