Код,Наименование,Код_ISO_4063,Категория
РД,Ручная дуговая сварка покрытыми электродами,111,металлы
РДВ,Ванная ручная дуговая сварка покрытыми электродами,,металлы
РАД,Ручная аргонодуговая сварка неплавящимся электродом,141,металлы
МАДП,Механизированная аргонодуговая сварка плавящимся электродом,131,металлы
МП,Механизированная сварка плавящимся электродом в среде активных газов и смесях,135,металлы
ААД,Автоматическая аргонодуговая сварка неплавящимся электродом,,металлы
АПГ,Автоматическая сварка плавящимся электродом в среде активных газов и смесях,,металлы
ААДП,Автоматическая аргонодуговая сварка плавящимся электродом,,металлы
АФ,Автоматическая сварка под флюсом,12,металлы
МФ,Механизированная сварка под флюсом,,металлы
МФВ,Ванная механизированная сварка под флюсом,,металлы
МПС,Механизированная сварка самозащитной порошковой проволокой,114,металлы
МПГ,Механизированная сварка порошковой проволокой в среде активных газов,136,металлы
МПСВ,Ванная механизированная сварка самозащитной порошковой проволокой,,металлы
МСОД,Механизированная сварка открытой дугой легированной проволокой,,металлы
П,Плазменная сварка,15,металлы
ЭШ,Электрошлаковая сварка,,металлы
ЭЛ,Электронно-лучевая сварка,,металлы
Г,Газовая сварка,311,металлы
РДН,Ручная дуговая наплавка покрытыми электродами,,наплавка
РАДН,Ручная аргонодуговая наплавка,,наплавка
ААДН,Автоматическая аргонодуговая наплавка,,наплавка
АФЛН,Автоматическая наплавка ленточным электродом под флюсом,,наплавка
АФПН,Автоматическая наплавка проволочным электродом под флюсом,,наплавка
КТС,Контактно-точечная сварка,,контактная
КСС,Контактная стыковая сварка сопротивлением,,контактная
КСО,Контактная стыковая сварка оплавлением,,контактная
ВЧС,Высокочастотная сварка,,контактная
ПАК,Пайка,,пайка
НИ,Сварка нагретым инструментом,,полимеры
ЗН,Сварка с закладными нагревателями,,полимеры
НГ,Сварка нагретым газом,,полимеры
Э,Экструзионная сварка,,полимеры
